,date,location,location_name,hospitalizations,smoothed_hosp,cases,smoothed_cases,spc,sph
18400,2020-11-19,17,Illinois,680,644.1428571428571,14612,12120.142857142857,6.37201880301284,0.44796677899110654
18401,2020-11-20,17,Illinois,641,648.7142857142857,13012,11776.857142857143,6.507679838733817,0.4500114191647044
18402,2020-11-21,17,Illinois,533,639.2857142857143,11891,11900.142857142857,6.433212273605575,0.4511743593632791
18403,2020-11-22,17,Illinois,615,643.2857142857143,10012,11811.714285714286,6.548689619802777,0.4541528113565137
18404,2020-11-23,17,Illinois,658,640.1428571428571,8322,11338.857142857143,6.608503797596153,0.46087323029659016
18405,2020-11-24,17,Illinois,678,641.0,9469,10891.42857142857,6.587422699648695,0.4695588569542996
18406,2020-11-25,17,Illinois,631,633.7142857142857,11378,11242.285714285714,6.598307886321651,0.4722521091662771
18407,2020-11-26,17,Illinois,476,604.5714285714286,12022,10872.285714285714,6.066725722521991,0.46599475748661184
18408,2020-11-27,17,Illinois,592,597.5714285714286,7574,10095.42857142857,6.129057465736288,0.46877892111882363
18409,2020-11-28,17,Illinois,504,593.4285714285714,7873,9521.42857142857,5.995989935980349,0.4781890846272133
18410,2020-11-29,17,Illinois,543,583.1428571428571,7178,9116.57142857143,5.920128862706804,0.48386485329013007
18411,2020-11-30,17,Illinois,636,580.0,6190,8812.0,5.845539975172417,0.4863393900869823
18412,2020-12-01,17,Illinois,605,569.5714285714286,12542,9251.0,6.1125822373654835,0.48513285134940737
18413,2020-12-02,17,Illinois,588,563.4285714285714,9757,9019.42857142857,6.185268154853998,0.4937038887408628
18414,2020-12-03,17,Illinois,598,580.8571428571429,10959,8867.57142857143,6.817893760257191,0.5065135506634737
18415,2020-12-04,17,Illinois,540,573.4285714285714,10526,9289.285714285714,6.773814851431084,0.5172075052674864
18416,2020-12-05,17,Illinois,452,566.0,9887,9577.0,7.010874489334323,0.5167514236823064
18417,2020-12-06,17,Illinois,472,555.8571428571429,7598,9637.0,7.1434085682579,0.5176224385969906
18418,2020-12-07,17,Illinois,573,546.8571428571429,8691,9994.285714285714,7.244075024642685,0.520790248451973
18419,2020-12-08,17,Illinois,606,547.0,7910,9332.57142857143,7.223159431524212,0.5245175172844291
18420,2020-12-09,17,Illinois,623,552.0,8256,9118.142857142857,7.457305047409154,0.5267487000972253
18421,2020-12-10,17,Illinois,561,546.7142857142857,11101,9138.42857142857,7.4278605337579,0.5319464228951797
18422,2020-12-11,17,Illinois,557,549.1428571428571,9420,8980.42857142857,7.4151226262488885,0.5309494630663085
18423,2020-12-12,17,Illinois,446,548.2857142857143,8737,8816.142857142857,7.3737602997823215,0.5331219919038116
18424,2020-12-13,17,Illinois,426,541.7142857142857,7216,8761.57142857143,7.370394287119105,0.5410480880874734
18425,2020-12-14,17,Illinois,542,537.2857142857143,7214,8550.57142857143,7.43397824189781,0.5472611919346647
18426,2020-12-15,17,Illinois,543,528.2857142857143,7359,8471.857142857143,7.258500068289259,0.5457071781222853
18427,2020-12-16,17,Illinois,556,518.7142857142857,7123,8310.0,6.982388030753408,0.5400819466935035
18428,2020-12-17,17,Illinois,493,509.0,8828,7985.285714285715,6.929568864699252,0.5321845055105089
18429,2020-12-18,17,Illinois,472,496.85714285714283,7377,7693.428571428572,6.896723160503671,0.5293279460420517
18430,2020-12-19,17,Illinois,448,497.14285714285717,7562,7525.571428571428,6.704269171400358,0.5260475278982938
18431,2020-12-20,17,Illinois,439,499.0,6003,7352.285714285715,6.663784399690274,0.5209667163862737
18432,2020-12-21,17,Illinois,499,492.85714285714283,4699,6993.0,6.553447030108231,0.5150150588343814
18433,2020-12-22,17,Illinois,502,487.0,6239,6833.0,6.541872291724046,0.5169444254162735
18434,2020-12-23,17,Illinois,516,481.2857142857143,6762,6781.428571428572,6.531602256423543,0.519604291667062
18435,2020-12-24,17,Illinois,393,467.0,7037,6525.571428571428,6.207838182283873,0.5154398285472621
18436,2020-12-25,17,Illinois,331,446.85714285714283,5742,6292.0,5.4572429849247825,0.507675027029287
18437,2020-12-26,17,Illinois,444,446.2857142857143,3293,5682.142857142857,5.61402529286056,0.5146743118424097
18438,2020-12-27,17,Illinois,424,444.14285714285717,3767,5362.714285714285,5.289369617218588,0.5179862083684831
18439,2020-12-28,17,Illinois,447,436.7142857142857,4453,5327.571428571428,5.21379969589149,0.5197298663779903
18440,2020-12-29,17,Illinois,420,425.0,5644,5242.571428571428,5.149487705128552,0.5199540350865595
18441,2020-12-30,17,Illinois,454,416.14285714285717,7374,5330.0,5.283470118996177,0.5246768701989791
18442,2020-12-31,17,Illinois,410,418.57142857142856,8009,5468.857142857143,5.403326739865164,0.535068937531681
18443,2021-01-01,17,Illinois,338,419.57142857142856,0,4648.571428571428,5.572633938600168,0.5435774871883113
18444,2021-01-02,17,Illinois,372,409.2857142857143,11963,5887.142857142857,5.9940337661907925,0.544192696162846
18445,2021-01-03,17,Illinois,388,404.14285714285717,4469,5987.428571428572,6.57362231924837,0.5434637379951278
18446,2021-01-04,17,Illinois,429,401.57142857142856,5059,6074.0,6.579264803163163,0.5481021184290713
18447,2021-01-05,17,Illinois,489,411.42857142857144,6839,6244.714285714285,6.650059885759115,0.5522813809075751
18448,2021-01-06,17,Illinois,400,403.7142857142857,7569,6272.571428571428,6.81696818236737,0.5502350337688
18449,2021-01-07,17,Illinois,401,402.42857142857144,8757,6379.428571428572,7.1940980133156485,0.5522117338772811
18450,2021-01-08,17,Illinois,405,412.0,9277,7704.714285714285,7.969077814430235,0.55751912692755
18451,2021-01-09,17,Illinois,343,407.85714285714283,6717,6955.285714285715,7.687098861236724,0.5514951577153661
18452,2021-01-10,17,Illinois,356,403.2857142857143,4711,6989.857142857143,7.542848298626222,0.5492378762585399
18453,2021-01-11,17,Illinois,449,406.14285714285717,4776,6949.428571428572,7.615264907196494,0.5437720585137877
