date,location,location_name,hospitalizations,smoothed_hosp,cases,smoothed_cases,spc,sph
2021-04-16,19,Iowa,29,39.857142857142854,387,467.57142857142856,1.7782598577342221,0.12054693571472777
2021-04-17,19,Iowa,26,39.57142857142857,505,468.42857142857144,1.7737256760906188,0.12244282274298943
2021-04-18,19,Iowa,32,39.92857142857143,289,478.0,1.7870107160944848,0.12280783342777667
2021-04-19,19,Iowa,38,38.857142857142854,291,465.42857142857144,1.790257816028813,0.12253165021553726
2021-04-20,19,Iowa,51,39.785714285714285,439,444.7857142857143,1.7837713612195074,0.12383603820484153
2021-04-21,19,Iowa,37,38.57142857142857,639,471.0,1.758124303026079,0.12412896302707617
2021-04-22,19,Iowa,31,37.42857142857143,477,460.42857142857144,1.741215654563865,0.12273826137136568
2021-04-23,19,Iowa,27,36.642857142857146,434,447.2142857142857,1.7111565335860053,0.12293236836792627
2021-04-24,19,Iowa,17,35.785714285714285,395,421.85714285714283,1.6906387277648953,0.12330238065409778
2021-04-25,19,Iowa,18,34.857142857142854,195,421.7857142857143,1.6706390100584712,0.12218278504469712
2021-04-26,19,Iowa,39,34.357142857142854,238,426.07142857142856,1.671211980184575,0.12284755709065065
2021-04-27,19,Iowa,37,34.357142857142854,368,413.64285714285717,1.6311125815250662,0.12201974391485809
2021-04-28,19,Iowa,34,33.785714285714285,506,402.92857142857144,1.6049598410597654,0.12122061596804487
2021-04-29,19,Iowa,31,31.928571428571427,450,400.92857142857144,1.5678657964955194,0.12190835449363595
2021-04-30,19,Iowa,26,31.714285714285715,358,398.85714285714283,1.5364496081451626,0.12042820517716175
2021-05-01,19,Iowa,30,32.0,385,390.2857142857143,1.4993192743213166,0.11832901491719054
2021-05-02,19,Iowa,33,32.07142857142857,295,390.7142857142857,1.4844487803686548,0.11780832723525882
2021-05-03,19,Iowa,36,31.928571428571427,230,386.35714285714283,1.4695383856925164,0.11757223830449984
2021-05-04,19,Iowa,34,30.714285714285715,377,381.92857142857144,1.447916911209898,0.11502886026686013
2021-05-05,19,Iowa,43,31.142857142857142,439,367.64285714285717,1.4149703948765129,0.11351622854973534
2021-05-06,19,Iowa,27,30.857142857142858,389,361.35714285714283,1.3792740470616924,0.11245583849554674
