key,level
LBR12,gadm1
LBR13,gadm1
LBR14,gadm1
LBR15,gadm1
LBY1,gadm1
LBY2,gadm1
LBY3,gadm1
LBY4,gadm1
LBY5,gadm1
LBY6,gadm1
LBY7,gadm1
LBY8,gadm1
LBY9,gadm1
LBY10,gadm1
LBY11,gadm1
LBY12,gadm1
LBY13,gadm1
LBY14,gadm1
LBY15,gadm1
LBY16,gadm1
LBY17,gadm1
LBY18,gadm1
LBY19,gadm1
LBY20,gadm1
LBY21,gadm1
LBY22,gadm1
MDG1,gadm1
MDG2,gadm1
MDG3,gadm1
MDG4,gadm1
MDG5,gadm1
MDG6,gadm1
MWI1,gadm1
MWI2,gadm1
MWI3,gadm1
MWI4,gadm1
MWI5,gadm1
MWI6,gadm1
MWI7,gadm1
MWI8,gadm1
MWI9,gadm1
MWI10,gadm1
MWI11,gadm1
MWI12,gadm1
MWI13,gadm1
MWI14,gadm1
MWI15,gadm1
MWI16,gadm1
MWI17,gadm1
MWI18,gadm1
MWI19,gadm1
MWI20,gadm1
MWI21,gadm1
MWI22,gadm1
MWI23,gadm1
MWI24,gadm1
MWI25,gadm1
MWI26,gadm1
MWI27,gadm1
MWI28,gadm1
MYS1,gadm1
MYS2,gadm1
MYS3,gadm1
MYS4,gadm1
MYS5,gadm1
MYS6,gadm1
MYS7,gadm1
MYS8,gadm1
MYS9,gadm1
MYS10,gadm1
MYS11,gadm1
MYS12,gadm1
MYS13,gadm1
MYS14,gadm1
MYS15,gadm1
MYS16,gadm1
MLI1,gadm1
MLI2,gadm1
MLI3,gadm1
MLI4,gadm1
MLI5,gadm1
MLI6,gadm1
MLI7,gadm1
MLI8,gadm1
MLI9,gadm1
MRT1,gadm1
MRT2,gadm1
MRT3,gadm1
MRT4,gadm1
MRT5,gadm1
MRT6,gadm1
MRT7,gadm1
MRT8,gadm1
MRT9,gadm1
MRT10,gadm1
MRT11,gadm1
MRT12,gadm1
MRT13,gadm1
MUS2,gadm1
MUS3,gadm1
MUS4,gadm1
MUS5,gadm1
MUS6,gadm1
MUS7,gadm1
MUS8,gadm1
MUS9,gadm1
MUS10,gadm1
MUS12,gadm1
MEX1,gadm1
MEX2,gadm1
MEX3,gadm1
MEX4,gadm1
MEX5,gadm1
MEX6,gadm1
MEX7,gadm1
MEX8,gadm1
MEX9,gadm1
MEX10,gadm1
MEX11,gadm1
MEX12,gadm1
MEX13,gadm1
MEX14,gadm1
MEX15,gadm1
MEX16,gadm1
MEX17,gadm1
MEX18,gadm1
MEX19,gadm1
MEX20,gadm1
MEX21,gadm1
MEX22,gadm1
MEX23,gadm1
MEX24,gadm1
MEX25,gadm1
MEX26,gadm1
